# source:topology|BGP|20201001|routeviews|sg
# source:topology|BGP|20201002|routeviews|sg
# source:topology|BGP|20201003|routeviews|sg
# source:topology|BGP|20201004|routeviews|sg
# source:topology|BGP|20201005|routeviews|sg
# source:topology|BGP|20201001|routeviews|soxrs
# source:topology|BGP|20201002|routeviews|soxrs
# source:topology|BGP|20201003|routeviews|soxrs
# source:topology|BGP|20201004|routeviews|soxrs
# source:topology|BGP|20201005|routeviews|soxrs
# source:topology|BGP|20201001|routeviews|sydney
# source:topology|BGP|20201002|routeviews|sydney
# source:topology|BGP|20201003|routeviews|sydney
# source:topology|BGP|20201004|routeviews|sydney
# source:topology|BGP|20201005|routeviews|sydney
# source:topology|BGP|20201001|routeviews|telxatl
# source:topology|BGP|20201002|routeviews|telxatl
# source:topology|BGP|20201003|routeviews|telxatl
# source:topology|BGP|20201004|routeviews|telxatl
# source:topology|BGP|20201005|routeviews|telxatl
# source:topology|BGP|20201001|routeviews|wide
# source:topology|BGP|20201002|routeviews|wide
# source:topology|BGP|20201003|routeviews|wide
# source:topology|BGP|20201004|routeviews|wide
# source:topology|BGP|20201005|routeviews|wide
1|12001|-1
1|40851|-1
1|56994|-1
1|61481|0
1|264217|0
3|293|0
3|6939|0
3|23248|-1
4|38315|0
4|58824|0
4|267833|0
4|269662|-1
5|265498|0
8|1700|-1
8|34805|0
8|262308|-1
8|262907|0
10|131401|-1
12|54965|-1
12|394666|-1
24|293|0
24|2153|0
24|7575|0
24|10343|-1
24|22388|0
32|3671|-1
33|13979|-1
33|54680|-1
34|2|-1
34|30641|-1
35|5691|-1
42|187|-1
42|286|0
42|293|0
42|553|0
42|680|0
42|701|0
42|715|-1
42|852|0
42|1103|0
42|1140|0
42|1267|0
42|1273|0
42|1280|0
42|1403|0
42|1764|0
42|1798|0
42|1916|0
42|2152|0
42|2381|0
42|2497|0
42|2603|0
42|2613|0
42|2895|0
42|2905|0
42|3130|0
42|3214|0
42|3216|0
42|3267|0
42|3280|0
42|3292|0
42|3303|0
42|3333|0
42|3402|0
42|3491|0
42|3741|0
42|4134|0
42|4181|0
42|4608|0
42|4637|0
42|4657|0
42|4739|0
42|4777|0
42|4788|0
42|4826|0
42|4844|0
42|5413|0
42|5645|0
42|5650|0
42|5713|0
42|5769|0
42|6079|0
42|6082|0
42|6233|0
42|6423|0
42|6461|0
42|6667|0
42|6720|0
42|6762|0
42|6830|0
42|6908|0
42|6939|0
42|7473|0
42|7489|0
42|7500|0
42|7545|0
42|7575|0
42|7597|0
42|7660|0
42|7713|0
